video_id,title,url,channel,published,duration,views,category,difficulty,quality_score,core_idea,actionable_insight,target_audience,creator_info,mentioned_companies,company_details,financial_data,technologies,auto_tags,semantic_topics,language,processed_at,project_category
N10w1KvFKNQ,Why Everyone Is Moving Away from NVIDIA,https://www.youtube.com/watch?v=N10w1KvFKNQ,Anastasi In Tech,,00:31:02,478964,,,0,,,,,,,,,,,auto,2026-04-13 17:06,General
1VX3jNJmbcI,Why the Future of Chips Is Being Built in the Desert,https://www.youtube.com/watch?v=1VX3jNJmbcI,Anastasi In Tech,,00:29:19,785270,,,0,,,,,,,,,,,auto,2026-04-13 17:06,General
R539FPNAwes,This New Technology Could Kill TSMC and ASML,https://www.youtube.com/watch?v=R539FPNAwes,Anastasi In Tech,,00:20:14,887444,,,0,,,,,,,,,,,auto,2026-04-13 17:07,General
36W0dMwQJxU,America’s New Chip Factory — $50B Disaster,https://www.youtube.com/watch?v=36W0dMwQJxU,Anastasi In Tech,,00:34:47,1161910,,,0,,,,,,,,,,,auto,2026-04-13 17:07,General
2Exyzeg5xGQ,Microchip Breakthrough No One Expected,https://www.youtube.com/watch?v=2Exyzeg5xGQ,Anastasi In Tech,,00:19:06,387571,Technology,Intermediate,9,"The era of scaling AI through bigger models and more GPUs is ending due to power grid limits. The next competitive advantage comes from chips designed specifically for inference efficiency, not general computing power.","Energy consumption, not algorithmic innovation, is now the bottleneck limiting AI deployment—shifting competition from software to specialized hardware design.","Tech professionals, AI engineers, infrastructure decision-makers, investors in semiconductor and AI companies",Anastasi In Tech—channel focused on hardware and infrastructure trends in AI,"Furiosa AI, Samsung, Meta, Google (Gemini), OpenAI (ChatGPT)",Furiosa AI founded by June Paik (ex-Samsung senior engineer); declined billion-dollar Meta acquisition offer; developed Warboy NPU for data center inference optimization,Billion-dollar acquisition offer from Meta (declined),"Neural Processing Unit (NPU), Warboy chip, MAC (Multiply-Accumulate) units, Von Neumann architecture, Inference optimization, Power efficiency","AI chips, energy efficiency, neural processors, data centers, hardware, inference, power consumption, semiconductor design","AI infrastructure constraints, Semiconductor design evolution, Power grid limitations as business constraint, Specialized vs. general-purpose computing, Data center economics",auto,2026-04-13 17:07,General
MmP8GYOoM-k,The New Computer That Thinks Like a Brain,https://www.youtube.com/watch?v=MmP8GYOoM-k,Anastasi In Tech,,00:18:40,193130,Technology,Advanced,9,"Neuromorphic computing replicates biological brain architecture in silicon, eliminating power-hungry central clocks and co-locating memory with processing to achieve dramatically superior efficiency and speed for AI applications.","The brain's apparent 'noise' and analog chaos actually enables efficient computation—moving from perfect digital synchronization to noisy biological principles paradoxically improves performance, suggesting technology progress requires abandoning traditional engineering assumptions.","Technology professionals, AI engineers, hardware innovators, venture capital investors, sustainability-focused technologists",Anastasi In Tech (YouTube channel focused on technology analysis and emerging computing innovations),"Innatera, NVIDIA, Apple, Intel (implied)","Innatera: Dutch startup founded 10+ years ago, developed the Pulsar neuromorphic chip (3mm wide), specializes in brain-inspired silicon processors",None mentioned,"Neuromorphic computing, Resistive memory, NVIDIA GPU, Apple chips, Spiking neural networks, Analog computing, Edge AI processors","neuromorphic-chips, brain-inspired-computing, energy-efficiency, artificial-intelligence, semiconductor-technology","Neuromorphic engineering, Low-power computing, Artificial intelligence hardware, Brain simulation, Edge computing, Semiconductor innovation",auto,2026-04-13 17:07,General
SpSq39DDHyE,The End Of Computing As We Know It,https://www.youtube.com/watch?v=SpSq39DDHyE,Anastasi In Tech,,00:13:14,460899,Technology,Advanced,9,"Traditional computing suppresses randomness and thermal noise through high energy consumption, but modern AI fundamentally requires controlled randomness. Extropic's thermodynamic approach flips this by leveraging thermal noise and quantum mechanics as core features rather than problems, potentially achieving 10,000x efficiency improvements.",The most efficient solution sometimes comes from working with physical reality rather than fighting against it—applying this principle to computing architecture could reshape the entire economics of AI.,"AI engineers, chip designers, data center operators, tech investors interested in next-generation computing",Anastasi In Tech - chip design engineer focused on decoding emerging semiconductor technology,"Extropic, Anthropic, Google, Mistral, xAI",Extropic is developing thermodynamic computing chips based on exploiting thermal noise and quantum effects at low-voltage transistor operation,"Current AI could consume energy equivalent to 44 nuclear reactors by 2030 if trends continue; thermodynamic computing claims 10,000x efficiency improvement potential","Thermodynamic computing, Low-voltage transistors, Quantum tunneling, Thermal noise exploitation, Probabilistic computing, GPU alternatives, Neural processing architectures","thermodynamic-computing, chip-design, AI-efficiency, quantum-mechanics, energy-consumption, next-generation-hardware, semiconductor-innovation","Next-generation computing architectures, Energy efficiency in AI, Physics-based computation, Thermodynamics and information theory, Hardware innovation for machine learning",auto,2026-04-13 17:07,General
b_PS8o8pi9A,Why Light Will Change Computers Forever,https://www.youtube.com/watch?v=b_PS8o8pi9A,Anastasi In Tech,,00:16:19,217006,Technology,Intermediate,9,"Photonic processors using light instead of electrons solve computing's energy and speed crisis by achieving 1,000x faster processing with minimal power consumption, enabled by new photonic memory technology that lets light store data.","The bottleneck in technology shifts from one problem to the next—once light-based compute and interconnect were solved, memory became the blocker, and solving it unlocked the entire paradigm. Identify your critical path constraint.","Tech professionals, AI practitioners, entrepreneurs, computer science students, business leaders evaluating emerging technology",Anastasi In Tech - Technology education channel,"Microsoft, Google, Amazon","Microsoft, Google, and Amazon are actively hiring AI specialists and building AI capabilities",Outskill AI training valued at $895,"photonic processors, resonators, transistors, photonic memory, optical computing, light-based computation","photonics, optical computing, AI infrastructure, chip technology, computing innovation, energy efficiency, memory storage","emerging computing architectures, AI computational demands, photonics technology, energy-efficient computing, memory innovation, technological disruption",auto,2026-04-13 17:08,General
3aewaff1494,The World's First Ternary Computer,https://www.youtube.com/watch?v=3aewaff1494,Anastasi In Tech,,00:17:05,720061,,,0,,,,,,,,,,,auto,2026-04-13 17:08,General
x7w-RwaXjc8,We're Moving Beyond Electronics,https://www.youtube.com/watch?v=x7w-RwaXjc8,Anastasi In Tech,,00:19:38,498571,Technology,Intermediate,8,"Spintronics leverages electron spin properties to create more efficient computing systems where memory and processing are co-located, addressing AI computing's fundamental bottleneck of separated memory and processors.",The human brain's efficiency comes from combining storage and processing in neurons; computer architecture mirrors this through spintronic systems could unlock exponential performance gains in AI workloads.,"Technology enthusiasts, AI researchers, electronics engineers, and innovators interested in next-generation computing paradigms",Anastasi In Tech - YouTube technology education channel,"Apple, OpenAI, GPU manufacturers",A18 chip (Apple) and GPUs mentioned as current computing solutions being improved upon by spintronics,,"Spintronics, Magnetic Tunnel Junctions (MTJs), Electron Spin, Quantum Computing, AI Hardware, Hard Drives","spintronics, quantum computing, AI efficiency, electron spin, computing architecture, energy efficiency, MTJs, future technology","emerging computing technologies, quantum mechanics applications, AI hardware optimization, energy-efficient processors, brain-inspired computing",auto,2026-04-13 17:08,General
